object_id,object_type,classification,reason,authoritative_fact_ids
MAC-1001,macro,current_authoritative,Current production object carrying mapped policy evidence.,pending_order_allowed_actions
MAC-1002,macro,current_authoritative,Current production object carrying mapped policy evidence.,pending_order_allowed_actions
MAC-1003,macro,current_authoritative,Current production object carrying mapped policy evidence.,pending_order_allowed_actions
MAC-1004,macro,current_authoritative,Current production object carrying mapped policy evidence.,pending_order_allowed_actions
MAC-1005,macro,current_authoritative,Current production object carrying mapped policy evidence.,authorized_actions_are_closed_scope;pending_order_allowed_actions
MAC-1010,macro,current_authoritative,Current production object carrying mapped policy evidence.,delivered_order_allowed_actions
MAC-1011,macro,current_authoritative,Current production object carrying mapped policy evidence.,delivered_order_allowed_actions
MAC-1012,macro,current_authoritative,Current production object carrying mapped policy evidence.,authorized_actions_are_closed_scope;delivered_order_allowed_actions
MAC-1020,macro,current_authoritative,Current production object carrying mapped policy evidence.,authorized_actions_are_closed_scope;profile_default_address_allowed_action
MAC-1030,macro,current_authoritative,Current production object carrying mapped policy evidence.,processed_orders_wait_until_delivered
MAC-1031,macro,current_authoritative,Current production object carrying mapped policy evidence.,processed_orders_wait_until_delivered
MAC-1032,macro,current_authoritative,Current production object carrying mapped policy evidence.,processed_orders_wait_until_delivered
MAC-1040,macro,current_authoritative,Current production object carrying mapped policy evidence.,cancelled_orders_have_no_further_action
MAC-1050,macro,current_authoritative,Current production object carrying mapped policy evidence.,cannot_modify_or_cancel_shipped_order
MAC-1060,macro,current_authoritative,Current production object carrying mapped policy evidence.,authorized_actions_are_closed_scope
MAC-3001,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3002,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3003,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3004,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3005,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3006,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3007,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3008,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3009,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3010,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3011,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3012,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3013,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3014,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3015,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3016,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3017,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3018,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3019,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-3020,macro,current_policy_neutral,Current production configuration with no retail policy ownership.,
MAC-4001,macro,legacy,Disabled historical configuration retained for audit.,
MAC-4002,macro,legacy,Disabled historical configuration retained for audit.,
MAC-4003,macro,legacy,Disabled historical configuration retained for audit.,
MAC-4004,macro,legacy,Disabled historical configuration retained for audit.,
MAC-4005,macro,legacy,Disabled historical configuration retained for audit.,
MAC-4006,macro,legacy,Disabled historical configuration retained for audit.,
MAC-4007,macro,legacy,Disabled historical configuration retained for audit.,
MAC-4008,macro,legacy,Disabled historical configuration retained for audit.,
MAC-4009,macro,legacy,Disabled historical configuration retained for audit.,
MAC-4010,macro,legacy,Disabled historical configuration retained for audit.,
MAC-5001,macro,draft,Unpublished sandbox configuration.,
MAC-5002,macro,draft,Unpublished sandbox configuration.,
MAC-5003,macro,draft,Unpublished sandbox configuration.,
MAC-5004,macro,draft,Unpublished sandbox configuration.,
MAC-5005,macro,draft,Unpublished sandbox configuration.,
MAC-5006,macro,draft,Unpublished sandbox configuration.,
MAC-5007,macro,draft,Unpublished sandbox configuration.,
MAC-5008,macro,draft,Unpublished sandbox configuration.,
MAC-5009,macro,draft,Unpublished sandbox configuration.,
MAC-5010,macro,draft,Unpublished sandbox configuration.,
MAC-6001,macro,archived,Non-production migration material.,
MAC-6002,macro,archived,Non-production migration material.,
MAC-6003,macro,archived,Non-production migration material.,
MAC-6004,macro,archived,Non-production migration material.,
MAC-6005,macro,archived,Non-production migration material.,
TRG-2002,trigger,current_authoritative,Current production object carrying mapped policy evidence.,pending_item_modification_replaces_items_in_place
TRG-2003,trigger,current_authoritative,Current production object carrying mapped policy evidence.,pending_item_modification_sets_exact_status
TRG-2004,trigger,current_authoritative,Current production object carrying mapped policy evidence.,pending_item_modification_appends_payment_history
TRG-2005,trigger,current_authoritative,Current production object carrying mapped policy evidence.,pending_item_modification_adds_no_fields
TRG-3001,trigger,current_policy_neutral,Current production configuration with no retail policy ownership.,
TRG-3002,trigger,current_policy_neutral,Current production configuration with no retail policy ownership.,
TRG-3003,trigger,current_policy_neutral,Current production configuration with no retail policy ownership.,
TRG-3004,trigger,current_policy_neutral,Current production configuration with no retail policy ownership.,
TRG-3005,trigger,current_policy_neutral,Current production configuration with no retail policy ownership.,
TRG-3006,trigger,current_policy_neutral,Current production configuration with no retail policy ownership.,
TRG-3007,trigger,current_policy_neutral,Current production configuration with no retail policy ownership.,
TRG-3008,trigger,current_policy_neutral,Current production configuration with no retail policy ownership.,
TRG-4001,trigger,legacy,Disabled historical configuration retained for audit.,
TRG-4002,trigger,legacy,Disabled historical configuration retained for audit.,
TRG-4003,trigger,legacy,Disabled historical configuration retained for audit.,
TRG-4004,trigger,legacy,Disabled historical configuration retained for audit.,
TRG-4005,trigger,legacy,Disabled historical configuration retained for audit.,
TRG-4006,trigger,legacy,Disabled historical configuration retained for audit.,
TRG-4007,trigger,legacy,Disabled historical configuration retained for audit.,
TRG-5001,trigger,draft,Unpublished sandbox configuration.,
TRG-5002,trigger,draft,Unpublished sandbox configuration.,
TRG-5003,trigger,draft,Unpublished sandbox configuration.,
TRG-5004,trigger,draft,Unpublished sandbox configuration.,
TRG-5005,trigger,draft,Unpublished sandbox configuration.,
TRG-5006,trigger,draft,Unpublished sandbox configuration.,
