object_id,object_type,classification,reason,authoritative_fact_ids
MAC-5161,macro,current_authoritative,Current production object carrying mapped workflow evidence.,phone_side_checks_available_before_account
MAC-5165,macro,current_policy_neutral,Current production administration with no workflow-policy ownership.,
MAC-5168,macro,current_policy_neutral,Current production administration with no workflow-policy ownership.,
MAC-5147,macro,legacy_or_draft,Disabled or non-production configuration retained by the complete export.,
TRG-7504,trigger,current_authoritative,Current production object carrying mapped workflow evidence.,open_account_for_carrier_side_change
TRG-7507,trigger,current_authoritative,Current production object carrying mapped workflow evidence.,account_change_requires_identity_line_and_confirmation
TRG-7513,trigger,current_policy_neutral,Current production administration with no workflow-policy ownership.,
TRG-7516,trigger,current_policy_neutral,Current production administration with no workflow-policy ownership.,
TRG-7519,trigger,current_policy_neutral,Current production administration with no workflow-policy ownership.,
TRG-7529,trigger,legacy_or_draft,Disabled or non-production configuration retained by the complete export.,
CONTRACT-2313,policy_contract,current_authoritative,Current production object carrying mapped workflow evidence.,carrier_side_workflow_examples
CONTRACT-2314,policy_contract,current_authoritative,Current production object carrying mapped workflow evidence.,account_change_requires_identity_line_and_confirmation
CONTRACT-2319,policy_contract,current_policy_neutral,Current production administration with no workflow-policy ownership.,
CONTRACT-2324,policy_contract,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-24,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-25,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-26,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-27,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-28,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-29,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-30,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
SLA-11,sla_policy,current_policy_neutral,Current production administration with no workflow-policy ownership.,
SLA-12,sla_policy,legacy_or_draft,Disabled or non-production configuration retained by the complete export.,
VIEW-31,view,current_policy_neutral,Current production administration with no workflow-policy ownership.,
VIEW-32,view,current_policy_neutral,Current production administration with no workflow-policy ownership.,
