object_id,object_type,classification,reason,authoritative_fact_ids
MAC-5203,macro,current_authoritative,Current production object carrying mapped workflow evidence.,charge_is_per_gb_price_times_amount
MAC-5190,macro,current_policy_neutral,Current production administration with no workflow-policy ownership.,
MAC-5194,macro,current_policy_neutral,Current production administration with no workflow-policy ownership.,
MAC-5152,macro,legacy_or_draft,Disabled or non-production configuration retained by the complete export.,
TRG-7562,trigger,current_authoritative,Current production object carrying mapped workflow evidence.,total_refueled_data_may_not_exceed_two_gb
TRG-7566,trigger,current_authoritative,Current production object carrying mapped workflow evidence.,charge_is_per_gb_price_times_amount
TRG-7554,trigger,current_policy_neutral,Current production administration with no workflow-policy ownership.,
TRG-7555,trigger,current_policy_neutral,Current production administration with no workflow-policy ownership.,
TRG-7556,trigger,current_policy_neutral,Current production administration with no workflow-policy ownership.,
TRG-7560,trigger,legacy_or_draft,Disabled or non-production configuration retained by the complete export.,
CONTRACT-2346,policy_contract,current_authoritative,Current production object carrying mapped workflow evidence.,total_refueled_data_may_not_exceed_two_gb
CONTRACT-2339,policy_contract,current_policy_neutral,Current production administration with no workflow-policy ownership.,
CONTRACT-2340,policy_contract,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-45,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-46,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-47,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-48,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-49,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-50,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-51,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-52,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-53,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-54,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-55,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
SLA-18,sla_policy,current_policy_neutral,Current production administration with no workflow-policy ownership.,
SLA-19,sla_policy,legacy_or_draft,Disabled or non-production configuration retained by the complete export.,
VIEW-40,view,current_policy_neutral,Current production administration with no workflow-policy ownership.,
VIEW-41,view,current_policy_neutral,Current production administration with no workflow-policy ownership.,
