object_id,object_type,classification,reason,authoritative_fact_ids
MAC-5188,macro,current_policy_neutral,Current production administration with no workflow-policy ownership.,
MAC-5181,macro,current_policy_neutral,Current production administration with no workflow-policy ownership.,
MAC-5182,macro,current_policy_neutral,Current production administration with no workflow-policy ownership.,
MAC-5150,macro,legacy_or_draft,Disabled or non-production configuration retained by the complete export.,
TRG-7553,trigger,current_authoritative,Current production object carrying mapped workflow evidence.,apply_selected_plan_after_confirmation
TRG-7534,trigger,current_policy_neutral,Current production administration with no workflow-policy ownership.,
TRG-7538,trigger,current_policy_neutral,Current production administration with no workflow-policy ownership.,
TRG-7543,trigger,current_policy_neutral,Current production administration with no workflow-policy ownership.,
TRG-7551,trigger,legacy_or_draft,Disabled or non-production configuration retained by the complete export.,
CONTRACT-2337,policy_contract,current_authoritative,Current production object carrying mapped workflow evidence.,apply_selected_plan_after_confirmation
CONTRACT-2332,policy_contract,current_policy_neutral,Current production administration with no workflow-policy ownership.,
CONTRACT-2333,policy_contract,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-34,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-35,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-36,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-37,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-38,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-39,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-40,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-41,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
SLA-14,sla_policy,current_policy_neutral,Current production administration with no workflow-policy ownership.,
SLA-15,sla_policy,legacy_or_draft,Disabled or non-production configuration retained by the complete export.,
VIEW-36,view,current_policy_neutral,Current production administration with no workflow-policy ownership.,
VIEW-37,view,current_policy_neutral,Current production administration with no workflow-policy ownership.,
