object_id,object_type,classification,reason,authoritative_fact_ids
MAC-5188,macro,current_policy_neutral,Current production administration with no workflow-policy ownership.,
MAC-5181,macro,current_policy_neutral,Current production administration with no workflow-policy ownership.,
MAC-5182,macro,current_policy_neutral,Current production administration with no workflow-policy ownership.,
MAC-5150,macro,legacy_or_draft,Disabled or non-production configuration retained by the complete export.,
TRG-7553,trigger,current_authoritative,Current production object carrying mapped workflow evidence.,apply_selected_plan_after_confirmation
TRG-7534,trigger,current_policy_neutral,Current production administration with no workflow-policy ownership.,
TRG-7538,trigger,current_policy_neutral,Current production administration with no workflow-policy ownership.,
TRG-7543,trigger,current_policy_neutral,Current production administration with no workflow-policy ownership.,
TRG-7551,trigger,legacy_or_draft,Disabled or non-production configuration retained by the complete export.,
CONTRACT-2337,policy_contract,current_authoritative,Current production object carrying mapped workflow evidence.,apply_selected_plan_after_confirmation
CONTRACT-2332,policy_contract,current_policy_neutral,Current production administration with no workflow-policy ownership.,
CONTRACT-2333,policy_contract,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-34,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-35,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-36,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-37,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-38,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-39,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-40,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
FLD-41,field,current_policy_neutral,Current production administration with no workflow-policy ownership.,
SLA-14,sla_policy,current_policy_neutral,Current production administration with no workflow-policy ownership.,
SLA-15,sla_policy,legacy_or_draft,Disabled or non-production configuration retained by the complete export.,
VIEW-36,view,current_policy_neutral,Current production administration with no workflow-policy ownership.,
VIEW-37,view,current_policy_neutral,Current production administration with no workflow-policy ownership.,
MAC-5159,macro,current_policy_neutral,Current production readback template derived from the mapped apply evidence.,
MAC-5153,macro,legacy_or_draft,Archived pilot script quoting catalog starting prices; displaced by the July readback decision.,
MAC-5155,macro,current_policy_neutral,Current production administration with no workflow-policy ownership.,
MAC-5185,macro,current_policy_neutral,Current production administration with no workflow-policy ownership.,
TRG-7499,trigger,current_policy_neutral,Current production guard restating the mapped apply gate in reject form.,
TRG-7490,trigger,legacy_or_draft,Sandbox exploration noted at the July review; never production.,
TRG-7547,trigger,current_policy_neutral,Current production administration with no workflow-policy ownership.,
CONTRACT-2310,policy_contract,current_policy_neutral,Current production quote administration; the apply gate lives with the mapped objects.,
FLD-62,field,current_policy_neutral,Current production reporting metadata.,
FLD-63,field,current_policy_neutral,Current production reporting metadata.,
FLD-64,field,legacy_or_draft,Sandbox experiment field retained by the default export.,
SLA-27,sla_policy,current_policy_neutral,Current production service-level administration.,
VIEW-47,view,current_policy_neutral,Current production reporting view.,
VIEW-48,view,current_policy_neutral,Current production reporting view.,
